City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Mount Isa,AU,-20.7333,139.5,92.97,31,83,11.5,broken clouds
264,Ambilobe,MG,-13.2,49.05,86.29,50,22,6.22,few clouds
265,Asyut,EG,27.181,31.1837,57.11,66,97,4.27,overcast clouds
266,Palmer,US,42.1584,-72.3287,40.73,68,90,0.0,overcast clouds
267,Cherskiy,RU,68.75,161.3,-30.33,97,100,3.56,overcast clouds
268,San Patricio,US,28.017,-97.5169,75.88,88,100,15.37,overcast clouds
269,Carsamba,TR,41.1989,36.7219,57.78,71,40,11.5,scattered clouds
270,Rocha,UY,-34.4833,-54.3333,58.37,96,23,2.91,few clouds
271,Aquidauana,BR,-20.4711,-55.7872,76.21,59,11,0.27,few clouds
272,Tukrah,LY,32.5341,20.5791,58.21,58,0,17.13,clear sky
273,Envira,BR,-7.3,-70.2167,70.83,100,89,2.21,very heavy rain
274,Tautira,PF,-17.7333,-149.15,82.42,75,87,17.13,light rain
275,Mackay,AU,-21.15,149.2,88.68,60,40,14.5,scattered clouds
276,Awjilah,LY,29.1081,21.2869,53.51,62,30,7.31,scattered clouds
277,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.95,85,17,10.96,few clouds
278,Muramatsu,JP,37.6833,139.1833,45.21,79,97,3.58,overcast clouds
279,Bilibino,RU,68.0546,166.4372,-20.06,98,100,3.2,overcast clouds
280,Miragoane,HT,18.4423,-73.0876,78.64,73,33,1.79,scattered clouds
281,Challans,FR,46.8436,-1.8749,42.28,79,100,9.53,overcast clouds
282,Chuka,KE,-0.3332,37.6459,64.0,85,68,1.63,broken clouds
283,Florestopolis,BR,-22.8633,-51.3872,72.01,64,66,4.97,broken clouds
284,Faya,SA,18.3851,42.4509,57.72,40,0,2.86,clear sky
285,Pangnirtung,CA,66.1451,-65.7125,4.71,98,100,7.52,light snow
286,Nouadhibou,MR,20.931,-17.0347,67.06,47,49,14.61,scattered clouds
287,Botwood,CA,49.1499,-55.3482,26.08,74,25,8.57,scattered clouds
288,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.48,87,94,16.22,overcast clouds
289,Dabola,GN,10.75,-11.1167,67.12,32,6,1.57,clear sky
290,Tiksi,RU,71.6872,128.8694,-21.69,96,100,8.48,overcast clouds
291,Malakal,SS,9.5334,31.6605,77.2,33,6,6.04,clear sky
292,Fort Smith,US,35.3859,-94.3986,69.85,81,90,6.91,overcast clouds
293,Saint-Joseph,RE,-21.3667,55.6167,84.56,70,9,10.18,clear sky
294,Jesup,US,31.6074,-81.8854,55.09,93,75,0.0,broken clouds
295,Nueva Germania,PY,-23.9,-56.5667,74.28,64,10,3.33,clear sky
296,Cidreira,BR,-30.1811,-50.2056,69.28,86,73,12.3,broken clouds
297,Oranjestad,AW,12.524,-70.027,80.55,83,40,17.27,scattered clouds
298,Chone,EC,-0.6833,-80.1,73.63,77,100,3.49,overcast clouds
299,Big Spring,US,32.2504,-101.4787,60.53,89,1,8.99,mist
300,Fort Nelson,CA,58.8053,-122.7002,-20.61,76,40,8.05,scattered clouds
301,Karratha,AU,-20.7377,116.8463,102.49,26,54,18.39,broken clouds
302,Asind,IN,25.7333,74.3333,71.64,49,71,6.2,broken clouds
303,Prince Rupert,CA,54.3161,-130.3201,33.49,74,90,4.61,overcast clouds
304,Corning,US,42.1428,-77.0547,47.12,64,90,14.97,overcast clouds
305,Buala,SB,-8.145,159.5921,79.21,86,100,18.86,overcast clouds
306,Filingue,NE,14.3521,3.3168,70.36,19,27,8.03,scattered clouds
307,Calama,CL,-22.4667,-68.9333,56.71,22,71,5.53,broken clouds
308,Sitka,US,57.0531,-135.33,35.49,69,90,5.75,overcast clouds
309,Lujiang,CN,31.2581,117.2817,62.65,24,0,4.07,clear sky
310,Tommot,RU,58.9564,126.2925,3.61,89,100,5.48,overcast clouds
311,Srandakan,ID,-7.9386,110.2506,80.49,82,100,6.89,overcast clouds
312,Sorland,NO,67.667,12.6934,19.47,64,6,12.73,clear sky
313,Kathmandu,NP,27.7167,85.3167,67.64,47,0,2.13,clear sky
314,Burgos,ES,42.3394,-3.7079,36.01,100,75,4.61,broken clouds
315,Cabedelo,BR,-6.9811,-34.8339,79.47,80,36,14.27,scattered clouds
